2019-04-20 11:17:28.533 febs [main] INFO  com.example.admin.FrameApplication - Starting FrameApplication on LAPTOP-TMOML677 with PID 7132 (C:\Users\zhong\IdeaProjects\frame\admin\target\classes started by zhong in C:\Users\zhong\IdeaProjects\frame)
2019-04-20 11:17:31.154 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$$EnhancerBySpringCGLIB$$de90649b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.170 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jsonComponentModule' of type [org.springframework.boot.jackson.JsonComponentModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.173 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.data.web.config.SpringDataJacksonConfiguration' of type [org.springframework.data.web.config.SpringDataJacksonConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.179 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jacksonGeoModule' of type [org.springframework.data.geo.GeoModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.183 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jacksonObjectMapperBuilder' of type [org.springframework.http.converter.json.Jackson2ObjectMapperBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.213 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jacksonObjectMapper' of type [com.fasterxml.jackson.databind.ObjectMapper] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.213 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroRealm' of type [com.example.admin.config.shiro.ShiroRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.218 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [org.crazycake.shiro.RedisCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.232 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.233 febs [main] INFO  c.e.admin.config.shiro.ShiroConfig - ----------------shiro filter end----------------
2019-04-20 11:17:31.288 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a0f1477b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.301 febs [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-20 11:17:31.702 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-04-20 11:17:31.712 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-04-20 11:17:31.723 febs [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2019-04-20 11:17:31.723 febs [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.34
2019-04-20 11:17:31.725 febs [localhost-startStop-1] INFO  o.a.c.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [D:\jdk8\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\iCLS\;C:\Program Files\Intel\Intel(R) Management Engine Components\iCLS\;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files\Intel\Intel(R) Management Engine Components\IPT;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;D:\jdk8\bin;D:\MySQL\MySQL\bin;D:\Git\Git\cmd;D:\apache-maven-3.5.2\bin;C:\Program Files\MongoDB\Server\3.2\bin;C:\Program Files\erl7.1\bin;C:\Program Files\RabbitMQ Server\rabbitmq_server-3.6.5\sbin;C:\Program Files\TortoiseGit\bin;D:\nodeJS\;C:\Program Files\VisualSVN Server\bin;C:\Program Files\TortoiseSVN\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\zhong\AppData\Local\Microsoft\WindowsApps;D:\Bandizip\;C:\Users\zhong\AppData\Roaming\npm;;.]
2019-04-20 11:17:31.817 febs [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-04-20 11:17:31.818 febs [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3146 ms
2019-04-20 11:17:31.942 febs [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2019-04-20 11:17:31.943 febs [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Servlet statViewServlet mapped to [/druid/*]
2019-04-20 11:17:31.947 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2019-04-20 11:17:31.947 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-04-20 11:17:31.947 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-04-20 11:17:31.947 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2019-04-20 11:17:31.947 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2019-04-20 11:17:31.948 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'exceptionHandlerFilter' to urls: [/*]
2019-04-20 11:17:31.948 febs [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'shirFilter' to: [/*]
2019-04-20 11:17:32.126 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-20 11:17:32.295 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@623a8092: startup date [Sat Apr 20 11:17:28 CST 2019]; root of context hierarchy
2019-04-20 11:17:32.341 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/auth/list],methods=[GET]}" onto public entity.ListResult com.example.admin.controller.AuthController.getRoles()
2019-04-20 11:17:32.343 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/log/login/page],methods=[GET]}" onto public entity.PageResult com.example.admin.controller.LogController.findLoginLogList(java.lang.String,java.lang.Integer,java.lang.Integer)
2019-04-20 11:17:32.343 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/log/logout/page],methods=[GET]}" onto public entity.PageResult com.example.admin.controller.LogController.findLogoutLogList(java.lang.String,java.lang.Integer,java.lang.Integer)
2019-04-20 11:17:32.344 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/role/page],methods=[GET]}" onto public entity.PageResult com.example.admin.controller.RoleController.findRoleList(java.lang.String,java.lang.Integer,java.lang.Integer)
2019-04-20 11:17:32.344 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/role/list],methods=[GET]}" onto public entity.ListResult com.example.admin.controller.RoleController.getRoles()
2019-04-20 11:17:32.346 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/update],methods=[POST]}" onto public entity.ResponseResult com.example.admin.controller.UserController.update(entity.FrameUser,javax.servlet.http.HttpServletRequest)
2019-04-20 11:17:32.346 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/stopAndUse],methods=[POST]}" onto public entity.ResponseResult com.example.admin.controller.UserController.stopAndUseUser(entity.FrameUser)
2019-04-20 11:17:32.346 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/page],methods=[GET]}" onto public entity.PageResult com.example.admin.controller.UserController.findUserList(java.lang.String,java.lang.Integer,java.lang.Integer)
2019-04-20 11:17:32.347 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/logout],methods=[POST]}" onto public entity.ResponseResult com.example.admin.controller.UserController.logout(javax.servlet.http.HttpServletRequest) throws java.io.IOException
2019-04-20 11:17:32.347 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/login],methods=[POST]}" onto public entity.ResponseResult com.example.admin.controller.UserController.login(entity.FrameUser,javax.servlet.http.HttpServletRequest)
2019-04-20 11:17:32.347 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/frame/user/getRoles],methods=[GET]}" onto public entity.RoleResult com.example.admin.controller.UserController.getStaffInfo(java.lang.String,javax.servlet.http.HttpServletRequest) throws java.io.IOException
2019-04-20 11:17:32.349 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2019-04-20 11:17:32.349 febs [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2019-04-20 11:17:32.395 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-20 11:17:32.396 febs [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2019-04-20 11:17:32.413 febs [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in globalDefaultExceptionHandler
2019-04-20 11:17:32.928 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2019-04-20 11:17:32.930 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'statFilter' has been autodetected for JMX exposure
2019-04-20 11:17:32.930 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
2019-04-20 11:17:32.934 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.spring.boot.autoconfigure:name=dataSource,type=DruidDataSourceWrapper]
2019-04-20 11:17:32.935 febs [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Located MBean 'statFilter': registering with JMX server as MBean [com.alibaba.druid.filter.stat:name=statFilter,type=StatFilter]
2019-04-20 11:17:32.945 febs [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-04-20 11:17:32.953 febs [main] INFO  o.a.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
2019-04-20 11:17:32.970 febs [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-04-20 11:17:32.974 febs [main] INFO  com.example.admin.FrameApplication - Started FrameApplication in 5.291 seconds (JVM running for 6.345)
2019-04-20 11:20:04.958 febs [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
2019-04-20 11:20:04.959 febs [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
2019-04-20 11:20:04.997 febs [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 37 ms
2019-04-20 11:20:05.016 febs [http-nio-8080-exec-1] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:20:05.024 febs [http-nio-8080-exec-2] INFO  c.e.admin.config.shiro.ShiroRealm - ---------------- 执行 Shiro 凭证认证 ----------------
2019-04-20 11:20:05.024 febs [http-nio-8080-exec-2] INFO  c.e.admin.config.shiro.ShiroRealm - 获取到的ip为：127.0.0.1
2019-04-20 11:20:05.121 febs [http-nio-8080-exec-2] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-04-20 11:20:05.122 febs [http-nio-8080-exec-2] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-04-20 11:20:05.850 febs [http-nio-8080-exec-2] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:20:05.850 febs [http-nio-8080-exec-2] INFO  c.e.admin.config.shiro.ShiroRealm - 从redis中获取值为：null
2019-04-20 11:20:10.159 febs [http-nio-8080-exec-3] INFO  c.e.admin.config.filter.JWTFilter - ---------------------------options请求放行---------------------------
2019-04-20 11:20:10.255 febs [http-nio-8080-exec-5] INFO  c.e.admin.controller.UserController - 登录用户名为：admin
